Latitude ,Longitude ,MaximumDepth ,SecchiDepth ,Sampling Depth ,T_Surf ,T_Epi ,Zeu / Zmix,BuoyFreq,TP ,TN ,Chlorophyl_a ,MC_YR ,MC_dmRR ,MC_RR ,MC_dmLR ,MC_LR ,CYN ,ATX ,ToxinRichness,TDI,TTC,Toxicity
43.28138889,-8.295,17.8,1.75,9,19.9,19.1,0.38,0,0.08,0.81,6.42,0.003,0,0.058,0.142,3.683,0,0,4,0.24,3.886,3
39.66731111,-7.532625,50,1.2,5,22.8,22.6,0.28,0,0.03,0.33,49.62,0.152,0.075,1.523,0.055,1.335,0,0.18,6,1.18,3.32,3
43.491886,-8.312181,11,1.43,7,21.5,20.6,0.49,0,0.02,3.5,2.91,0,0,0.015,0.003,0.004,0,0,3,0.84,0.022,1
39.44975,-3.338555556,1.2,1,5,26.4,26.4,2.5,0,0.03,4.57,1.79,0,0,0.006,0,0,0,0,1,0,0.006,1
36.75555,-2.9464,3.2,0.2,1.8,31.4,31.2,0.23,0.01,0.08,4.1,103.45,0.018,0,0,0,0.13,0.002,0,3,0.43,0.15,2
41.24938889,0.429194444,34,3.5,9,25.4,25.1,0.94,0,0.03,2.12,9.63,0,0,0,0,0.004,0,0,1,0,0.004,1
39.77873333,-5.6054,80,1.1,14,25.1,24.3,0.04,0,0.03,1.22,58.93,0.007,0,0.114,0.012,0.32,0.001,0.283,6,1.14,0.737,2
41.72095,2.341644444,58.5,0.96,10,24.6,21.7,0.39,0.01,0.04,0.21,13.59,0,1.814,0,0,0,0,0,1,0,1.814,3
62.23918889,25.77259167,25,1.8,5,20.5,20.1,0.39,0,0.05,0.8,5.25,0.002,0,0.017,0.003,0.005,0,0,4,1.07,0.027,1
60.355,22.20833333,15.2,3.1,10,19.4,18.2,0.59,0.01,0.12,0.22,2.93,0,0.076,0,0.002,0,0,0,2,0.14,0.078,1
60.45138889,22.39527778,2.9,0.7,2,19.6,19.5,0.69,0,0.03,0.33,60.35,0.002,0,0.329,0.098,0.184,0,0,4,1.01,0.613,2
38.17156667,23.90511111,54,4.5,26,21.7,20.4,0.34,0,0.05,0.77,25.04,0.024,0,0.023,0.002,0.038,0,0,4,1.14,0.087,1
40.76368056,21.09733889,8.6,2.2,6.8,25.3,23,8.8,0.01,0.06,1.45,9.09,0.031,0,0.228,0.008,0.128,0,0,4,0.96,0.395,2
45.83161111,16.02616667,7,0.5,5,24.6,23.5,1,0,0.05,0.3,9.54,0.162,0.061,1.115,0.029,0.657,0,0,5,1.06,2.024,3
45.16963889,14.56338889,9,5.5,8,26.3,25,1.92,0,0.06,0.07,7.52,0,0,0,0,0.017,0,0,1,0,0.017,1
54.09972222,-8.589444444,5.3,0.78,7,14.3,14.1,0.6,0,0.02,0.73,1.01,0,0,0,0.003,0,0,0,1,0,0.003,1
45.68722222,10.06722222,251,6.2,30,21.2,16.3,0.7,0,0.02,0.28,1.4,0.002,0.031,0,0.002,0,0,0.009,4,0.84,0.044,1
55.65575,23.20038889,5,0.48,2,21.2,20.4,0.38,0,0.02,1.27,81.65,0.014,0,0.225,0.012,0.1,0,0.004,5,0.94,0.355,2
54.73747222,25.18572222,3,0.51,1.7,25.2,24.9,2.51,0.01,0.06,0.72,102.29,0.038,0,0.424,0.172,0.398,0.029,0,5,1.25,1.061,3
54.79386111,25.30755556,11.8,0.7,5.5,23.9,19.4,0.31,0.01,0.05,1.05,36.87,0.015,2.805,0,0.208,0,0,0,4,0.28,3.028,3
54.59152778,24.18508333,4.4,0.45,2.8,22,21.8,0.4,0.01,0.05,0.81,103.9,0.055,0,0.623,0.044,0.253,0.034,1.333,6,1.14,2.342,3
55.97755556,22.24886111,5.3,0.45,3,17.7,17.8,0.35,0,0.16,0.67,112.7,0.041,0.166,0.803,0.067,0.372,0,0,5,1.17,1.449,3
54.39172222,24.36605556,7,0.95,6,20.8,19.8,0.49,0,0.03,1.11,35.01,0.12,5.181,0.072,0.269,0.035,0.298,0.034,7,0.61,6.009,3
55.86075,23.31230556,4.8,0.43,2,19.2,18.8,0.43,0,0.05,0.42,92.96,0.017,0,0,0.003,0.047,0,0,3,0.73,0.067,1
54.39433333,23.643,4.8,0.4,2.5,24.8,23.9,0.9,0.01,0.02,0.72,132.1,0.093,0.109,1.645,0.023,0.549,0,0.1,6,1.04,2.519,3
54.98566667,25.21661111,4.6,0.7,4,20.5,20.1,0.48,0,0.13,0.62,53.62,0.143,3.52,0,0.504,0.023,0.38,0.29,6,0.97,4.86,3
54.43508333,23.85044444,5,0.26,2,25,23.7,1.23,0.01,0.12,1.56,207.18,2.965,7.533,0,2.56,0,0.32,0.071,5,1.09,13.449,3
41.19861111,22.73333333,8,2.8,7,28.6,27.4,1.05,0,0.05,2.8,10.35,0.058,0,0.844,0.057,1.733,0,0,4,0.81,2.692,3
52.30002778,4.840333333,2,0.2,1.5,22.5,22.5,0.27,0,0.29,2.16,690.16,0.088,0.383,1.987,0.057,1.414,0,0.051,6,1.14,3.98,3
52.38566667,5.017111111,2.6,0.25,1.8,22.1,22,0.42,0.01,0.87,2.83,248.58,1.37,9.077,0,2.013,0.11,0,0.013,5,0.82,12.583,3
52.34833333,4.664083333,3,0.8,2.5,20.3,20.3,0.64,0,0.61,0.73,71.63,0.002,0,0,0.003,0.026,0,0.002,4,0.71,0.033,1
52.36366667,4.817222222,39,4,10,19.7,19.1,1.31,0,0.29,0.34,7.51,0.001,0,0,0.003,0.007,0,0,3,0.9,0.011,1
52.42558333,4.669416667,30,0.6,8.5,19.9,18.6,0.19,0,0.17,0.34,56.35,0.002,0.095,0,0.017,0.012,0,0.008,5,0.95,0.134,2
59.24499167,10.32690083,8,1.3,4,18.9,18.8,0.65,0,0.12,1.02,17.53,0.01,0,0.21,0.018,0.636,0,0,4,0.71,0.874,2
59.5143325,10.15597611,2.7,0.55,2,18.4,18.2,0.88,0,0.24,0.55,25.82,0.374,0.217,3.309,0.113,2.282,0,0,5,1.06,6.295,3
59.42701722,10.98318778,18.5,1.2,4,19,18.9,0.29,0.01,0.27,1.56,5.55,0,0.061,0,0.004,0,0,0,2,0.24,0.065,1
59.66792389,11.54612917,13.8,1.45,4,18.6,18.3,0.48,0,0.17,0.85,6.13,0.002,0,0,0,0.007,0,0,2,0.53,0.009,1
59.29807833,11.08458833,10.2,1,4,18.1,18,0.5,0,0.1,0.43,11.94,0.009,0.085,0.323,0.022,0.054,0,0,5,1.04,0.493,2
59.39440806,10.83571972,33.2,1.85,4,19.1,19.1,0.19,0.01,0.02,0.96,3.18,0.002,0,0,0.003,0.004,0,0,3,1.05,0.009,1
59.44232083,10.75360167,16.5,1.4,4,19.6,19.5,0.19,0,0.15,0.55,13.31,0.002,0.034,0.118,0.006,0.043,0,0,5,1.09,0.203,2
53.83109167,19.84415,15,0.75,6.3,25.8,21.3,0.27,0.01,0.18,0.58,27.85,0.249,0.3,0,0.12,0,0.001,0,4,1.04,0.67,2
51.53272222,23.0425,2.7,0.23,0.7,23.9,24,0.35,0,0.21,2.14,119.59,0.066,0,2.017,0.037,0.433,0.003,0.007,6,0.67,2.563,3
52.20016667,17.11708333,8.5,0.97,6.5,22.2,20.5,0.46,0.01,0.04,0.26,31.74,0,0,0,0,0,0.007,0,1,0,0.007,1
52.400966,15.620132,3.6,1.7,5,22.9,21.4,0.76,0.01,0.02,0.26,5.46,0.006,0.022,0.028,0.003,0.048,0,0,6,1.29,0.107,2
52.381964,15.603918,3.6,1.2,2.5,22.9,22.3,1.05,0.01,0.02,1.68,12.4,0.002,0.026,0.026,0.003,0.034,0,0,6,1.27,0.091,1
